TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20210111200719,2,18,22,1,0,0,0
20210111200719,3,14,22,2,0,0,0
20210111200739,1,39,18,1,0,0,0
20210111200739,2,47,21,2,0,0,0
20210111200739,3,23,30,2,0,0,0
20210111200746,1,43,18,2,0,0,0
20210111200746,2,28,20,1,0,0,0
20210111200746,3,1,22,1,0,0,0
20210111200765,1,63,18,1,0,0,0
20210111200765,2,63,20,2,0,0,0
20210111200765,3,27,22,2,0,0,0
20210111200765,4,30,26,1,0,0,0
20210111200768,1,40,18,2,0,0,0
20210111200768,2,41,29,1,0,0,0
20210111200782,1,55,18,1,0,0,0
20210111200782,2,56,21,2,0,0,0
20210111200783,1,40,18,2,0,0,0
20210111200783,2,10,22,2,0,0,0
20210111200783,3,7,22,1,0,0,0
20210111200807,1,60,18,2,0,0,0
20210111200807,2,85,20,1,60,0,0
20210111200826,1,44,18,2,0,0,0
20210111200826,2,47,20,1,0,0,0
20210111200826,3,15,22,1,0,0,0
20210111200826,4,13,22,1,0,0,0
20210111200826,5,11,22,2,0,0,0
20210111200864,1,28,18,2,0,0,0
20210111200864,2,9,22,1,0,0,0
20210111200864,3,39,20,1,0,0,0
20210111200869,1,43,18,2,0,0,0
20210111200869,2,8,22,2,0,0,0
20210111200869,3,5,22,1,0,0,0
20210111200893,1,66,18,1,0,0,0
20210111200893,2,56,20,2,0,0,0
20210111200893,3,20,22,2,0,0,0
20210111200893,4,15,22,2,0,0,0
20210111200901,1,36,18,1,0,0,0
20210111200901,2,33,20,2,0,0,0
20210111200901,3,7,22,1,0,0,0
20210111200901,4,5,22,2,0,0,0
20210111200953,1,59,19,1,0,0,0
20210111200992,1,38,18,1,0,0,0
20210111200992,2,34,20,2,0,0,0
20210111201005,1,63,18,1,0,0,0
20210111201005,2,60,20,2,0,0,0
20210111201032,1,67,18,1,0,0,0
20210111201032,2,67,20,2,0,0,0
20210111201068,1,55,18,2,0,0,0
20210111201068,2,56,20,1,0,0,0
20210111201068,3,9,22,1,0,0,0
20210111201068,4,7,22,1,0,0,0
20210111201068,5,6,22,1,0,0,0
20210111201069,1,80,18,1,0,0,0
20210111201069,2,80,20,2,0,0,0
20210111201072,1,54,18,2,0,0,0
20210111201072,2,60,20,1,0,0,0
20210111201072,3,17,22,2,0,0,0
20210111201084,1,61,18,2,0,0,0
20210111201084,2,59,20,1,0,0,0
20210111201112,1,58,18,2,0,0,0
20210111201112,2,67,20,1,0,0,0
20210111201113,1,56,18,1,0,0,0
20210111201113,2,56,20,2,0,0,0
20210111201122,1,58,18,2,0,0,0
20210111201122,2,60,20,1,0,0,0
20210111201122,3,26,22,1,0,0,0
20210111201122,4,21,22,2,0,0,0
20210111201128,1,39,18,1,0,0,0
20210111201128,2,40,20,2,0,0,0
20210111201128,3,6,22,2,0,0,0
20210111201128,4,4,22,2,0,0,0
20210111201136,1,39,18,1,0,0,0
20210111201136,2,38,20,2,0,0,0
20210111201136,3,8,22,2,0,0,0
20210111201136,4,7,22,1,0,0,0
20210111201136,5,2,22,1,0,0,0
20210111201140,1,44,18,1,0,0,0
20210111201140,2,44,20,2,0,0,0
20210111201140,3,17,22,2,0,0,0
20210111201140,4,20,22,1,0,0,0
20210111201155,1,59,18,1,0,0,0
20210111201155,2,56,20,2,0,0,0
20210111201178,1,60,18,1,0,0,0
20210111201178,2,60,20,2,0,0,0
20210111201182,1,37,18,1,0,0,0
20210111201182,2,32,20,2,0,0,0
20210111201182,3,0,22,1,0,0,0
20210111201194,1,52,19,2,0,0,0
20210111201266,1,64,18,2,0,0,0
20210111201266,2,32,22,1,0,0,0
20210111201266,3,65,20,1,0,0,0
20210111201275,1,78,18,1,0,0,0
20210111201275,2,85,24,2,60,0,0
20210111201281,1,45,19,2,0,0,0
20210111201288,1,28,18,2,0,0,0
20210111201288,2,27,20,1,0,0,0
20210111201319,1,36,18,1,0,0,0
20210111201319,2,33,20,2,0,0,0
20210111201319,3,3,22,1,0,0,0
20210111201319,4,5,26,1,0,0,0
20210111201319,5,8,26,1,0,0,0
20210111201323,1,27,19,1,0,0,0
20210111201332,1,85,19,1,60,0,0
20210111201348,1,33,18,2,0,0,0
20210111201348,2,36,20,1,0,0,0
20210111201348,3,7,22,1,0,0,0
20210111201348,4,3,22,1,0,0,0
20210111201349,1,56,18,2,0,0,0
20210111201349,2,58,30,2,0,0,0
20210111201349,3,45,28,2,0,0,0
20210111201349,4,42,28,1,0,0,0
20210111201349,5,47,28,1,0,0,0
20210111201373,1,80,18,2,0,0,0
20210111201373,2,75,20,1,0,0,0
20210111201374,1,53,18,1,0,0,0
20210111201374,2,49,20,2,0,0,0
20210111201383,1,77,18,1,0,0,0
20210111201383,2,76,20,2,0,0,0
20210111201417,1,53,18,2,0,0,0
20210111201417,2,54,20,1,0,0,0
20210111201417,3,16,22,1,0,0,0
20210111201439,1,67,19,1,0,0,0
20210111201444,1,53,18,1,0,0,0
20210111201444,2,51,20,2,0,0,0
20210111201457,1,34,18,2,0,0,0
20210111201457,2,33,20,1,0,0,0
20210111201457,3,1,22,1,0,0,0
20210111201463,1,53,19,2,0,0,0
20210111201473,1,38,18,1,0,0,0
20210111201473,2,33,20,2,0,0,0
20210111201473,3,6,22,1,0,0,0
20210111201473,4,1,22,1,0,0,0
20210111201473,5,1,22,2,0,0,0
20210111201489,1,61,19,2,0,0,0
20210111201492,1,31,18,1,0,0,0
20210111201492,2,63,24,2,0,0,0
20210111201498,1,34,18,2,0,0,0
20210111201498,2,34,20,1,0,0,0
20210111201498,3,11,22,2,0,0,0
20210111201498,4,6,22,1,0,0,0
20210111201525,1,36,18,1,0,0,0
20210111201525,2,79,26,2,0,0,0
20210111201528,1,76,18,1,0,0,0
20210111201528,2,69,20,2,0,0,0
20210111201538,1,24,18,2,0,0,0
20210111201538,2,55,24,2,0,0,0
20210111201538,3,55,24,1,0,0,0
